Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2025-12-23,USD,0,10000,0,0
2025-12-23,USD,10000,,3.140,-0.5
2025-12-23,AED,0,35000,0,0
2025-12-23,AED,35000,,2.970,-0.75
2025-12-23,AUD,0,15000,0,0
2025-12-23,AUD,15000,150000,2.844,-0.5
2025-12-23,AUD,150000,,3.094,-0.25
2025-12-23,CAD,0,13000,0,0
2025-12-23,CAD,13000,,1.500,-0.5
2025-12-23,CHF,0,100000,0,0
2025-12-23,CHF,100000,,-0.390,-0.25
2025-12-23,CNH,0,70000,0,0
2025-12-23,CNH,70000,,0.50,0
2025-12-23,CZK,0,250000,0,0
2025-12-23,CZK,250000,,0.802,-2
2025-12-23,DKK,0,75000,0,0
2025-12-23,DKK,75000,,1.065,-0.5
2025-12-23,EUR,0,10000,0,0
2025-12-23,EUR,10000,,1.498,-0.5
2025-12-23,GBP,0,8000,0,0
2025-12-23,GBP,8000,,3.226,-0.5
2025-12-23,HKD,0,78000,0,0
2025-12-23,HKD,78000,,2.040,-0.75
2025-12-23,HUF,0,3500000,0,0
2025-12-23,HUF,3500000,,3.312,-3
2025-12-23,ILS,,,0,0
2025-12-23,INR,,,0,0
2025-12-23,JPY,0,5000000,0,0
2025-12-23,JPY,5000000,,0.347,-0.25
2025-12-23,KRW,0,12000000,0,0
2025-12-23,KRW,12000000,,1.000,-1.5
2025-12-23,MXN,0,200000,0,0
2025-12-23,MXN,200000,,2.884,-4
2025-12-23,NOK,0,100000,0,0
2025-12-23,NOK,100000,,1.532,-2
2025-12-23,NZD,0,15000,0,0
2025-12-23,NZD,15000,,0.000,-2.5
2025-12-23,PLN,0,400000,0,0
2025-12-23,PLN,400000,,1.737,-2
2025-12-23,RON,0,50000,0,0
2025-12-23,RON,50000,,3.560,-2
2025-12-23,RUB,,,0,0
2025-12-23,SAR,0,35000,0,0
2025-12-23,SAR,35000,,5.050,-0.75
2025-12-23,SEK,0,110000,0,0
2025-12-23,SEK,110000,,1.216,-0.5
2025-12-23,SGD,0,14000,0,0
2025-12-23,SGD,14000,,0.352,-1
2025-12-23,TRY,0,250000,0,0
2025-12-23,TRY,250000,,5,0
2025-12-23,ZAR,0,150000,0,0
2025-12-23,ZAR,150000,,4.998,-1
